model_role,checkpoint_path,checkpoint_filename,checkpoint_sha256,training_kimg,file_size,modification_time,architecture_identity,training_subset_size,training_configuration_source,training_configuration_sha256,ema_status,label_conditioning_status,loadability_status,inventory_status,rejection_reason
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-017000.pkl,network-snapshot-017000.pkl,4f131812d9ef6ab06b0364930cb5fda95629364e1332cd142c8e840083581e70,17000,223159938,2026-08-05T13:25:30.805905+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-018000.pkl,network-snapshot-018000.pkl,66ef3e1dbb797aceb11fe61053b73c63e12d691682a830ba4f0f61ea8db4288f,18000,223159938,2026-08-05T14:38:37.471513+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-019000.pkl,network-snapshot-019000.pkl,147be4a88b57ae4eddfde578630ddf6e3c6ec89e8a3132cd9af0a9c34675989b,19000,223159938,2026-08-05T15:51:39.447778+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-020000.pkl,network-snapshot-020000.pkl,9f9baed1a1ec0f87058f9b37bf5fe33799c1c04cea5b015c267be356a4a4d6db,20000,223159938,2026-08-05T17:04:55.198639+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-021000.pkl,network-snapshot-021000.pkl,6f0b3dd9d724f492b5209caf61910bcdc3d43b3e55048e0a17daaa0896f2552e,21000,223159938,2026-08-05T18:18:20.920830+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-022000.pkl,network-snapshot-022000.pkl,02bbb0eb6567537be434155f49e05c5c7c6f7e1bf8d9c297261201430cf791c5,22000,223159938,2026-08-05T19:31:41.593986+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-023000.pkl,network-snapshot-023000.pkl,1008a661c6596a64186685e0992bc21f584a7b422a8256cf86a7150a0bec74fe,23000,223159938,2026-08-05T20:45:10.272352+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-024000.pkl,network-snapshot-024000.pkl,388fb9959592642df120dadf9836c3fdaf1df6841e3a03f4833ef9d89b701d43,24000,223159938,2026-08-05T21:57:51.942949+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-025000.pkl,network-snapshot-025000.pkl,cd3da048eb4793f9b7661bbba690d954854f6e636634512ad92db31c7e2a7740,25000,223159938,2026-08-05T23:10:22.991485+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-026000.pkl,network-snapshot-026000.pkl,25699320513f972dcbbc3ddd4ed6558ba67690f9dbe741e774f0ee0410387de9,26000,223159938,2026-08-06T00:22:42.587206+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-027000.pkl,network-snapshot-027000.pkl,557055b1d3501771560d5164b937466df74dbc958177832ba1fb698a85d97b5f,27000,223159938,2026-08-06T01:34:58.372074+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-028000.pkl,network-snapshot-028000.pkl,38ba5ecb803f6b7f6286397e014c7a6a110690be40bc3c9c215e62534a8cf7b9,28000,223159938,2026-08-06T02:47:18.533229+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-029000.pkl,network-snapshot-029000.pkl,c6b73732d9410dc283bf2b5f2ddbf5c2b0283fd3294a7c732a2799cbe2b376e4,29000,223159938,2026-08-06T03:59:35.492865+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-030000.pkl,network-snapshot-030000.pkl,66406526e9024c7280b903cdb1731ae35ed252da87aa1b9932cc9a2d43d446e2,30000,223159938,2026-08-06T05:11:46.478422+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
