experiment_id,run_id,model,split,sigma_index,sigma,sigma_grid,cutoff,band,n_images,n_repeats,mean_summed_squared_error,ci95_low_summed_squared_error,ci95_high_summed_squared_error,mean_per_element_mse,ci95_low_per_element_mse,ci95_high_per_element_mse,aggregation_status
experiment_05,e005_spectral_residual_curves,edm_1k,test,3,28.374584604156844,edm_18_rho7,3,high_frequency_residual,1000,8,158.64008003593472,153.84455871761241,163.32951189786957,0.051640651053364163,0.050079608957556122,0.05316715882092108,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,4,19.352452980325229,edm_18_rho7,3,full,1000,8,654.55398469795307,639.29503544382828,670.82059882027488,0.2130709585605316,0.20810385268353784,0.21836608034514157,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,4,19.352452980325229,edm_18_rho7,3,low_frequency_residual,1000,8,496.2965750914604,483.17942564462425,509.86121905657325,0.16155487470425142,0.15728496928535945,0.16597044891164495,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,4,19.352452980325229,edm_18_rho7,3,high_frequency_residual,1000,8,158.25740960649222,153.65805949901829,163.04451056776097,0.051516083856280016,0.050018899576503351,0.053074384950443025,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,5,12.91008238075732,edm_18_rho7,3,full,1000,8,602.90705479062183,590.56579449005255,615.58615373691521,0.19625880689798889,0.19224146956056398,0.20038611775290208,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,5,12.91008238075732,edm_18_rho7,3,low_frequency_residual,1000,8,439.0375365235206,429.7215673936206,448.50533862558456,0.1429158647537502,0.13988332271927753,0.14599783158384913,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,5,12.91008238075732,edm_18_rho7,3,high_frequency_residual,1000,8,163.86951826710086,159.26283115201056,168.60508829458809,0.053342942144238563,0.051843369515628436,0.054884468845894561,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,6,8.4009353090998165,edm_18_rho7,3,full,1000,8,553.66996496999241,543.01730656331381,564.5160071210455,0.1802311083886694,0.17676344614691206,0.18376172106804867,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,6,8.4009353090998165,edm_18_rho7,3,low_frequency_residual,1000,8,376.81758415851795,369.73864175592831,384.18761246526731,0.12266197400993423,0.12035763077992458,0.12506107176603753,ok
experiment_05,e005_spectral_residual_curves,edm_1k,test,6,8.4009353090998165,edm_18_rho7,3,high_frequency_residual,1000,8,176.85238081147421,172.1430903963678,181.67315386987039,0.057569134378735093,0.056036162238400973,0.059138396442015101,ok
