cutoff,band,sigma_index,sigma,band_dimension,coverage_estimate,coverage_ci95_low,coverage_ci95_high,coverage_monte_carlo_se,posterior_weight_estimate,posterior_weight_ci95_low,posterior_weight_ci95_high,posterior_weight_monte_carlo_se,coverage_ge_q_c,posterior_ge_q_w,high_high_point_estimate,high_high_lower_bound
5,low,14,0.05994731123547159,243,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
5,low,15,0.022934518372333384,243,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
5,low,16,0.0075280199627840785,243,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
5,low,17,0.002000000000000003,243,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
5,high,0,80.0,2829,0.999125,0.998,1.0,0.00022658174179374162,0.0015422055112580368,0.0015369549005254425,0.001547114794155323,1.2966595895505116e-06,True,False,False,False
5,high,1,57.58598472124816,2829,0.999125,0.998,1.0,0.00022658174179374162,0.0018148149920163372,0.0018060943584462187,0.001823007959065052,2.205407239223313e-06,True,False,False,False
5,high,2,40.78557379650796,2829,0.999125,0.998,1.0,0.00022658174179374162,0.002292061009726337,0.0022759623660037706,0.0023068536913838514,4.194874583692403e-06,True,False,False,False
5,high,3,28.374584604156844,2829,0.999125,0.998,1.0,0.00022658174179374162,0.003211420906299072,0.0031783819553093183,0.0032424707017911667,9.112418215429171e-06,True,False,False,False
5,high,4,19.35245298032523,2829,0.999125,0.998,1.0,0.00022658174179374162,0.005231001050013031,0.005148694534539626,0.005312254058400238,2.440484935350127e-05,True,False,False,False
5,high,5,12.91008238075732,2829,0.999125,0.998,1.0,0.00022658174179374162,0.010513596823851962,0.010255395366503089,0.010757391335101505,8.312701881489679e-05,True,False,False,False
5,high,6,8.400935309099816,2829,0.999125,0.998,1.0,0.00022658174179374162,0.027578950549500717,0.02647891778592122,0.028621039771667252,0.0003672551687863595,True,False,False,False
5,high,7,5.315194521796382,2829,0.999375,0.99825,1.0,0.0002630521404045758,0.09569373693603188,0.0902579712426597,0.10096594012447095,0.0017323240373056197,True,False,False,False
5,high,8,3.256821519765537,2829,0.999625,0.99875,1.0,0.00018298126367785012,0.352442486014073,0.33778177628701544,0.3668940113652506,0.0029593885215749845,True,False,False,False
5,high,9,1.9233398370400518,2829,0.999,0.99775,0.999875,0.00032732683535398885,0.8116678400879153,0.7981463687526972,0.8249541820910228,0.00161313289467821,True,True,True,False
5,high,10,1.088170636545279,2829,0.986375,0.9825,0.990875,0.0011009330458427403,0.992204059246024,0.9896344934466691,0.9944626536941488,0.00047495790349265794,True,True,True,True
5,high,11,0.5853481231945422,2829,0.57025,0.54334375,0.594190625,0.003768999488306819,0.999999534363061,0.9999985520395978,0.9999999986262887,2.799649522173217e-07,False,True,False,False
5,high,12,0.29644228447915727,2829,0.0275,0.019178125,0.03501249999999999,0.0010522085616183027,1.0,1.0,1.0,0.0,False,True,False,False
5,high,13,0.13951646873101678,2829,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
5,high,14,0.05994731123547159,2829,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
5,high,15,0.022934518372333384,2829,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
5,high,16,0.0075280199627840785,2829,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
5,high,17,0.002000000000000003,2829,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
