experiment_id,image_id,split,checkpoint,trajectory,axis_name,axis_value,cutoff,seed,S_low,S_high
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.29000000,20.00000000,0,0.00000000,0.19750169
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.30000000,20.00000000,0,0.00000000,0.20890491
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.31000000,20.00000000,0,0.00000000,0.21982839
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.32000000,20.00000000,0,0.00000000,0.23022137
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.33000000,20.00000000,0,0.00000000,0.24003969
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.34000000,20.00000000,0,0.00000000,0.24924648
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.35000000,20.00000000,0,0.00000000,0.25781272
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.36000000,20.00000000,0,0.00000000,0.26571778
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.37000000,20.00000000,0,0.00000000,0.27294976
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.38000000,20.00000000,0,0.00000000,0.27950571
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.39000000,20.00000000,0,0.00000000,0.28539161
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.40000000,20.00000000,0,0.00000000,0.29062222
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.41000000,20.00000000,0,0.00000000,0.29522068
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.42000000,20.00000000,0,0.00000000,0.29921795
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.43000000,20.00000000,0,0.00000000,0.30265198
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.44000000,20.00000000,0,0.00000000,0.30556679
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.45000000,20.00000000,0,0.00000000,0.30801135
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.46000000,20.00000000,0,0.00080983,0.31080854
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.47000000,20.00000000,0,0.00430614,0.31474894
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.48000000,20.00000000,0,0.01001021,0.31983282
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.49000000,20.00000000,0,0.01782606,0.32605627
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.50000000,20.00000000,0,0.02765773,0.33341102
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.51000000,20.00000000,0,0.03940922,0.34188398
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.52000000,20.00000000,0,0.05298455,0.35145656
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.53000000,20.00000000,0,0.06828773,0.36210358
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.54000000,20.00000000,0,0.08522278,0.37379181
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.55000000,20.00000000,0,0.10369370,0.38647801
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.56000000,20.00000000,0,0.12360451,0.40010717
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.57000000,20.00000000,0,0.14485921,0.41461715
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.58000000,20.00000000,0,0.16736180,0.42994487
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.59000000,20.00000000,0,0.19101631,0.44602710
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.60000000,20.00000000,0,0.21572672,0.46280048
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.61000000,20.00000000,0,0.24139704,0.48020154
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.62000000,20.00000000,0,0.26793129,0.49816666
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.63000000,20.00000000,0,0.29523345,0.51663215
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.64000000,20.00000000,0,0.32320753,0.53553421
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.65000000,20.00000000,0,0.35175754,0.55480891
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.66000000,20.00000000,0,0.38078748,0.57439225
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.67000000,20.00000000,0,0.41020133,0.59422013
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.68000000,20.00000000,0,0.43990312,0.61422831
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.69000000,20.00000000,0,0.46979683,0.63435246
