scenario,source_image,frequency_radius,noise_seed,initial_per_band_noise_level,dc_excluded,progress,low_band_weight,high_band_weight,low_band_score,high_band_score,low_band_relative_error,high_band_relative_error
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.48000000,0.94668800,0.01036800,0.94038620,0.00994776,0.05961380,0.99005224
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.49000000,0.96025600,0.01817600,0.95250378,0.01776767,0.04749622,0.98223233
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.50000000,0.97200000,0.02800000,0.96222440,0.02760283,0.03777560,0.97239717
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.51000000,0.98182400,0.03974400,0.96930691,0.03935729,0.03069309,0.96064271
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.52000000,0.98963200,0.05331200,0.97373419,0.05293513,0.02626581,0.94706487
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.53000000,0.99532800,0.06860800,0.97598125,0.06824040,0.02401875,0.93175960
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.54000000,0.99881600,0.08553600,0.97695435,0.08517714,0.02304565,0.91482286
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.55000000,1.00000000,0.10400000,0.97750000,0.10364939,0.02250000,0.89635061
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.56000000,1.00000000,0.12390400,0.97800000,0.12356118,0.02200000,0.87643882
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.57000000,1.00000000,0.14515200,0.97850000,0.14481655,0.02150000,0.85518345
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.58000000,1.00000000,0.16764800,0.97900000,0.16731952,0.02100000,0.83268048
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.59000000,1.00000000,0.19129600,0.97950000,0.19097412,0.02050000,0.80902588
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.60000000,1.00000000,0.21600000,0.98000000,0.21568436,0.02000000,0.78431564
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.61000000,1.00000000,0.24166400,0.98050000,0.24135426,0.01950000,0.75864574
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.62000000,1.00000000,0.26819200,0.98100000,0.26788784,0.01900000,0.73211216
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.63000000,1.00000000,0.29548800,0.98150000,0.29518911,0.01850000,0.70481089
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.64000000,1.00000000,0.32345600,0.98200000,0.32316207,0.01800000,0.67683793
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.65000000,1.00000000,0.35200000,0.98250000,0.35171073,0.01750000,0.64828927
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.66000000,1.00000000,0.38102400,0.98300000,0.38073910,0.01700000,0.61926090
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.67000000,1.00000000,0.41043200,0.98350000,0.41015118,0.01650000,0.58984882
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.68000000,1.00000000,0.44012800,0.98400000,0.43985096,0.01600000,0.56014904
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.69000000,1.00000000,0.47001600,0.98450000,0.46974245,0.01550000,0.53025755
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.70000000,1.00000000,0.50000000,0.98500000,0.49972962,0.01500000,0.50027038
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.71000000,1.00000000,0.52998400,0.98550000,0.52971648,0.01450000,0.47028352
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.72000000,1.00000000,0.55987200,0.98600000,0.55960700,0.01400000,0.44039300
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.73000000,1.00000000,0.58956800,0.98650000,0.58930516,0.01350000,0.41069484
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.74000000,1.00000000,0.61897600,0.98700000,0.61871493,0.01300000,0.38128507
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.75000000,1.00000000,0.64800000,0.98750000,0.64774027,0.01250000,0.35225973
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.76000000,1.00000000,0.67654400,0.98800000,0.67628515,0.01200000,0.32371485
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.77000000,1.00000000,0.70451200,0.98850000,0.70425348,0.01150000,0.29574652
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.78000000,1.00000000,0.73180800,0.98900000,0.73154921,0.01100000,0.26845079
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.79000000,1.00000000,0.75833600,0.98950000,0.75807622,0.01050000,0.24192378
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.80000000,1.00000000,0.78400000,0.99000000,0.78373838,0.01000000,0.21626162
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.81000000,1.00000000,0.80870400,0.99050000,0.80843951,0.00950000,0.19156049
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.82000000,1.00000000,0.83235200,0.99100000,0.83208337,0.00900000,0.16791663
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.83000000,1.00000000,0.85484800,0.99150000,0.85457363,0.00850000,0.14542637
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.84000000,1.00000000,0.87609600,0.99200000,0.87581382,0.00800000,0.12418618
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.85000000,1.00000000,0.89600000,0.99250000,0.89570725,0.00750000,0.10429275
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.86000000,1.00000000,0.91446400,0.99300000,0.91415691,0.00700000,0.08584309
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.87000000,1.00000000,0.93139200,0.99350000,0.93106517,0.00650000,0.06893483
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.88000000,1.00000000,0.94668800,0.99400000,0.94633336,0.00600000,0.05366664
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.89000000,1.00000000,0.96025600,0.99450000,0.95986074,0.00550000,0.04013926
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.90000000,1.00000000,0.97200000,0.99500000,0.97154216,0.00500000,0.02845784
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.91000000,1.00000000,0.98182400,0.99550000,0.98126200,0.00450000,0.01873800
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.92000000,1.00000000,0.98963200,0.99600000,0.98887585,0.00400000,0.01112415
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.93000000,1.00000000,0.99532800,0.99650000,0.99415392,0.00350000,0.00584608
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.94000000,1.00000000,0.99881600,0.99700000,0.99677147,0.00300000,0.00322853
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.95000000,1.00000000,1.00000000,0.99750000,0.99750000,0.00250000,0.00250000
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.96000000,1.00000000,1.00000000,0.99800000,0.99800000,0.00200000,0.00200000
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.97000000,1.00000000,1.00000000,0.99850000,0.99850000,0.00150000,0.00150000
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.98000000,1.00000000,1.00000000,0.99900000,0.99900000,0.00100000,0.00100000
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.99000000,1.00000000,1.00000000,0.99950000,0.99950000,0.00050000,0.00050000
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00189094,1.00140053
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.01000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00185969,1.00137417
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.02000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00182870,1.00134807
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.03000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00179795,1.00132221
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.04000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00176745,1.00129661
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00173720,1.00127125
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.06000000,0.00000000,0.00118400,0.00000000,0.00000000,1.00170720,1.00006345
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.07000000,0.00000000,0.00467200,0.00000000,0.00344565,1.00167745,0.99655435
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.08000000,0.00000000,0.01036800,0.00000000,0.00916027,1.00164795,0.99083973
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.09000000,0.00000000,0.01817600,0.00000000,0.01698456,1.00161869,0.98301544
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.10000000,0.00000000,0.02800000,0.00000000,0.02682269,1.00158969,0.97317731
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.11000000,0.00000000,0.03974400,0.00000000,0.03857876,1.00156093,0.96142124
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.12000000,0.00000000,0.05331200,0.00000000,0.05215687,1.00153242,0.94784313
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.13000000,0.00000000,0.06860800,0.00000000,0.06746108,1.00150416,0.93253892
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.14000000,0.00000000,0.08553600,0.00000000,0.08439544,1.00147615,0.91560456
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.15000000,0.00000000,0.10400000,0.00000000,0.10286399,1.00144839,0.89713601
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.16000000,0.00000000,0.12390400,0.00000000,0.12277073,1.00142088,0.87722927
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.17000000,0.00000000,0.14515200,0.00000000,0.14401966,1.00139361,0.85598034
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.18000000,0.00000000,0.16764800,0.00000000,0.16651475,1.00136660,0.83348525
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.19000000,0.00000000,0.19129600,0.00000000,0.19015996,1.00133983,0.80984004
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.20000000,0.00000000,0.21600000,0.00000000,0.21485922,1.00131332,0.78514078
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.21000000,0.00000000,0.24166400,0.00000000,0.24051645,1.00128705,0.75948355
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.22000000,0.00000000,0.26819200,0.00000000,0.26703553,1.00126103,0.73296447
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.23000000,0.00000000,0.29548800,0.00000000,0.29432034,1.00123526,0.70567966
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.24000000,0.00000000,0.32345600,0.00000000,0.32227470,1.00120974,0.67772530
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.25000000,0.00000000,0.35200000,0.00000000,0.35080241,1.00118447,0.64919759
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.26000000,0.00000000,0.38102400,0.00000000,0.37980722,1.00115944,0.62019278
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.27000000,0.00000000,0.41043200,0.00000000,0.40919285,1.00113467,0.59080715
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.28000000,0.00000000,0.44012800,0.00000000,0.43886294,1.00111014,0.56113706
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.29000000,0.00000000,0.47001600,0.00000000,0.46872106,1.00108587,0.53127894
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.30000000,0.00000000,0.50000000,0.00000000,0.49867071,1.00106184,0.50132929
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.31000000,0.00000000,0.52998400,0.00000000,0.52861527,1.00103807,0.47138473
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.32000000,0.00000000,0.55987200,0.00000000,0.55845799,1.00101454,0.44154201
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.33000000,0.00000000,0.58956800,0.00000000,0.58810195,1.00099126,0.41189805
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.34000000,0.00000000,0.61897600,0.00000000,0.61745002,1.00096823,0.38254998
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.35000000,0.00000000,0.64800000,0.00000000,0.64640478,1.00094545,0.35359522
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.36000000,0.00000000,0.67654400,0.00000000,0.67486847,1.00092292,0.32513153
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.37000000,0.00000000,0.70451200,0.00000000,0.70274284,1.00090064,0.29725716
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.38000000,0.00000000,0.73180800,0.00000000,0.72992902,1.00087860,0.27007098
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.39000000,0.00000000,0.75833600,0.00000000,0.75632725,1.00085682,0.24367275
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.40000000,0.00000000,0.78400000,0.00000000,0.78183660,1.00083529,0.21816340
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.41000000,0.00000000,0.80870400,0.00000000,0.80635442,1.00081400,0.19364558
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.42000000,0.00000000,0.83235200,0.00000000,0.82977569,1.00079297,0.17022431
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.43000000,0.00000000,0.85484800,0.00000000,0.85199181,1.00077218,0.14800819
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.44000000,0.00000000,0.87609600,0.00000000,0.87288892,1.00075164,0.12711108
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.45000000,0.00000000,0.89600000,0.00000000,0.89234508,1.00073136,0.10765492
high_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.46000000,0.00118400,0.91446400,0.00047225,0.91022582,0.99952775,0.08977418
